200;100;10
cp0;324;12,9;1166;399;6;-1
cp1;413;7,3;59;444;7;3
cp2;321;11,4;1151;611;1;3
cp3;442;23,9;215;535;4;1
cp4;259;18,2;273;327;1;2
cp5;426;12,9;112;541;-3;1
cp6;443;1,6;81;252;1;2
cp7;325;3,2;474;236;2;9
cp8;323;13,6;234;111;1;2
cp9;486;13,6;898;126;1;3
cp11;463;13,5;654;214;1;1
cp11;369;23,5;1242;554;1;-4
cp12;419;1,6;391;611;1;1
cp13;196;22,6;797;639;1;1
cp14;183;2,8;7;531;1;7
cp15;437;7,8;600;516;-13;15
cp16;494;18,2;91;559;1;1
cp17;112;23,7;214;766;4;-1
cp18;278;9,3;121;636;-8;1
cp19;247;23,7;29;613;2;1
cp21;123;9,2;552;141;4;1
cp21;281;3,1;329;577;1;-3
cp22;131;24,4;351;299;6;1
cp23;481;9,1;73;333;9;6
cp24;411;2,1;141;56;18;-25
cp25;184;17,7;172;711;1;1
cp26;151;12,8;169;21;1;1
cp27;386;25,3;623;319;-9;1
cp28;424;18,1;111;593;8;1
cp29;188;5,6;396;578;1;3
cp31;125;19,4;823;281;2;1
cp31;367;25,1;27;751;-1;1
cp32;267;13,1;629;421;-1;1
cp33;486;9,2;958;584;1;1
cp34;216;18,3;669;42;1;6
cp35;119;23,1;324;275;5;6
cp36;445;5,8;534;566;2;-3
cp37;448;13,8;988;777;1;1
cp38;148;15,1;1177;122;-8;1
cp39;498;7,3;213;727;1;3
cp41;438;7,9;59;34;1;1
cp41;421;13,8;1238;711;-1;2
cp42;155;22,4;551;171;5;-3
cp43;121;17,5;26;6;-18;2
cp44;431;9,7;631;716;-3;5
cp45;177;18,9;1111;539;-1;4
cp46;417;6,1;1376;219;-3;1
cp47;358;8,8;215;568;-1;1
cp48;473;4,4;1163;652;-6;2
cp49;165;24,2;58;774;4;2
cp50;329;12,9;1166;399;6;-1
cp51;413;7,3;59;444;7;3
cp52;321;11,4;1151;611;1;3
cp53;442;23,9;215;535;4;1
cp54;254;18,2;273;327;1;2
cp55;426;12,9;112;541;-3;1
cp56;443;1,6;81;252;1;2
cp57;324;3,2;474;236;2;9
cp58;325;13,6;234;111;1;2
cp59;481;13,6;898;126;1;3
cp60;463;13,5;654;214;1;1
cp61;324;23,5;1242;554;1;-4
cp62;419;1,6;391;611;1;1
cp63;196;22,6;797;639;18;1
cp64;183;2,8;7;531;1;7
cp65;432;7,8;600;516;-13;15
cp66;494;18,2;91;559;1;1
cp67;112;23,7;214;766;4;-1
cp68;278;9,3;121;636;-8;1
cp69;247;23,7;29;613;2;1
cp70;123;9,2;552;141;4;1
cp71;281;3,1;329;577;1;-3
cp72;131;24,4;351;299;6;1
cp73;481;9,1;73;333;9;6
cp74;411;2,1;141;56;18;-25
cp75;184;17,7;172;711;1;1
cp76;156;12,8;169;21;9;1
cp77;384;25,3;623;319;-9;1
cp78;445;18,1;111;593;8;7
cp79;161;5,6;396;578;1;3
cp80;125;19,4;823;281;2;1
cp81;363;25,1;27;751;-1;1
cp82;262;13,1;629;421;-1;7
cp83;422;9,2;958;584;1;1
cp84;216;18,3;669;42;6;4
cp85;119;23,1;324;275;10;6
cp86;445;5,8;534;566;4;-3
cp87;448;13,8;988;777;5;1
cp88;146;15,1;1177;122;-8;5
cp89;498;7,3;213;727;1;3
cp90;438;7,9;59;34;1;1
cp91;411;13,8;1238;711;-1;2
cp92;155;22,4;551;171;5;-3
cp93;121;17,5;26;6;-18;10
cp94;431;9,7;631;716;-3;5
cp95;177;18,9;1111;539;-1;4
cp96;471;6,1;1376;219;-3;1
cp97;386;8,8;215;568;-1;1
cp98;473;4,4;1163;652;-6;2
cp99;125;24,2;58;774;4;4
cp100;329;12,9;116;399;-6;-1
cp101;413;7,3;59;444;7;6
cp102;388;11,4;1151;611;1;3
cp103;441;23,9;515;535;4;1
cp104;249;18,2;243;327;5;2
cp105;426;19,9;12;541;-3;3
cp106;423;1,6;81;272;5;2
cp107;346;3,2;474;236;2;9
cp108;375;8,6;234;180;5;2
cp109;461;13,6;598;123;1;3
cp110;463;13,5;654;214;4;-4
cp111;324;23,5;142;54;1;-4
cp112;493;1,6;351;711;12;1
cp113;165;22,6;767;659;6;5
cp114;183;2,8;48;541;1;7
cp115;412;7,8;60;596;-13;15
cp116;448;18,2;82;510;1;4
cp117;112;23,7;297;777;4;-1
cp118;248;9,3;19;636;-8;1
cp119;277;23,7;52;993;2;1
cp120;137;9,2;552;581;4;1
cp121;281;3,1;349;37;1;-3
cp122;131;24,4;391;219;6;1
cp123;481;9,1;730;392;-9;6
cp124;416;2,1;541;16;18;-25
cp125;184;17,7;142;71;3;4
cp126;156;12,8;179;75;1;1
cp127;364;25,3;73;349;-9;1
cp128;445;18,1;171;543;8;1
cp129;161;5,6;36;8;2;3
cp130;125;19,4;82;411;2;4
cp131;373;25,1;84;71;-1;1
cp132;272;13,1;719;121;-1;1
cp133;486;9,2;832;75;1;7
cp134;216;18,3;149;12;1;6
cp135;193;23,1;34;475;5;6
cp136;445;5,8;955;66;11;-3
cp137;448;13,8;988;797;4;1
cp138;486;15,1;11;12;-8;1
cp139;498;7,3;313;27;-8;3
cp140;438;7,9;80;30;1;1
cp141;211;13,12;123;711;-1;12
cp142;155;22,4;591;311;5;-3
cp143;216;17,5;40;6;-18;2
cp144;431;9,7;641;800;-3;5
cp145;177;18,9;11;510;-1;4
cp146;171;6,1;136;219;-3;1
cp147;486;8,8;385;58;-1;1
cp148;473;4,4;116;700;-6;2
cp149;425;24,2;58;402;10;2
cp150;249;12,9;44;99;6;-1
cp151;413;7,3;59;44;-7;3
cp152;188;11,4;43;11;7;3
cp153;421;23,9;215;600;4;1
cp154;449;18,2;273;348;12;2
cp155;426;12,9;184;614;-3;-5
cp156;433;1,6;900;22;1;-7
cp157;246;3,2;474;24;4;18
cp158;235;13,6;24;500;10;6
cp159;461;13,6;12;712;1;-3
cp160;433;13,5;410;300;4;-1
cp161;324;23,5;122;54;1;-4
cp162;493;1,6;341;512;5;4
cp163;165;22,6;74;510;8;7
cp164;183;2,8;185;800;6;7
cp165;412;7,8;70;716;-13;15
cp166;448;18,2;41;659;1;12
cp167;112;23,7;314;266;24;-1
cp168;248;9,3;221;736;-8;1
cp169;277;23,7;89;713;2;1
cp170;137;9,2;452;341;4;1
cp171;218;3,1;229;877;1;-3
cp172;131;24,4;351;99;6;1
cp173;481;9,1;94;33;9;6
cp174;416;2,1;541;86;-10;-25
cp175;184;17,7;72;811;12;1
cp176;116;12,8;69;121;4;2
cp177;364;25,3;823;19;-9;1
cp178;445;18,1;11;393;8;1
cp179;161;5,6;36;278;1;3
cp180;125;19,4;523;81;2;1
cp181;363;25,1;327;651;19;18
cp182;272;13,1;29;621;-1;1
cp183;486;9,2;458;384;1;1
cp184;216;18,3;69;2;2;6
cp185;193;23,1;724;75;5;6
cp186;445;5,8;334;46;2;-3
cp187;448;13,8;88;177;1;1
cp188;186;15,1;117;172;-8;1
cp189;498;7,3;213;127;1;3
cp190;438;7,9;559;44;1;1
cp191;411;13,8;138;611;-1;6
cp192;155;22,4;251;11;5;-3
cp193;116;17,5;226;6;-10;4
cp194;431;9,7;631;416;-3;5
cp195;177;18,9;121;179;-1;4
cp196;171;6,1;136;719;-3;1
cp197;386;8,8;235;268;-2;2
cp198;473;4,4;113;452;-6;4
cp199;125;24,2;108;674;4;7
